source_x,source_y,dest_x,dest_y,straight_distance,vehicle_count,hour,is_rush_hour,is_weekend,avg_network_congestion,scenario,scenario_normal,scenario_morning,scenario_evening,scenario_weekend,scenario_special,path_length,travel_time,total_distance,avg_congestion,computation_time
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,0,14,0,0,2.130698705247208,Normal,1,0,0,0,0,136,328.2762919462152,1579.622261483395,2.130698705247208,0.0055239200592041016
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,25,14,0,0,3.12731011404677,Normal,1,0,0,0,0,140,535.544745685123,1551.28355382144,3.12731011404677,0.0047149658203125
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,50,14,0,0,7.235404068931658,Normal,1,0,0,0,0,147,1351.1807274916134,1670.4662108604325,7.235404068931658,0.005973339080810547
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,100,14,0,0,10.96674840036925,Normal,1,0,0,0,0,128,1793.157313911026,1601.15143825007,10.96674840036925,0.005761861801147461
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,150,14,0,0,12.914651816759578,Normal,1,0,0,0,0,128,2118.7312050342066,1601.15143825007,12.914651816759578,0.00557708740234375
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,0,9,1,0,2.3760208186653293,Morning,0,1,0,0,0,136,372.9433326940795,1579.622261483395,2.3760208186653293,0.00549006462097168
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,25,9,1,0,3.865755050782323,Morning,0,1,0,0,0,128,608.7457012112369,1601.15143825007,3.865755050782323,0.005014896392822266
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,50,9,1,0,6.862949375590952,Morning,0,1,0,0,0,140,1223.310469605875,1551.28355382144,6.862949375590952,0.006541728973388672
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,100,9,1,0,12.00728123730527,Morning,0,1,0,0,0,128,1967.5354998357639,1601.15143825007,12.00728123730527,0.00592803955078125
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,150,9,1,0,12.520393127939641,Morning,0,1,0,0,0,128,2054.5527501969236,1601.15143825007,12.520393127939641,0.0057528018951416016
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,0,19,1,0,2.4935300178991606,Evening,0,0,1,0,0,140,410.0856292405847,1551.28355382144,2.4935300178991606,0.005663156509399414
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,25,19,1,0,2.779430269085246,Evening,0,0,1,0,0,140,469.94171717723765,1551.28355382144,2.779430269085246,0.0045320987701416016
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,50,19,1,0,6.467762876357611,Evening,0,0,1,0,0,140,1146.6097025311274,1551.28355382144,6.467762876357611,0.005572080612182617
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,100,19,1,0,10.462817527304683,Evening,0,0,1,0,0,140,1883.8070026953885,1551.28355382144,10.462817527304683,0.005575895309448242
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,150,19,1,0,13.805803605054619,Evening,0,0,1,0,0,128,2268.1253563919786,1601.15143825007,13.805803605054619,0.005844831466674805
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,0,16,0,1,1.6082580042804515,Weekend,0,0,0,1,0,140,240.82054023607284,1551.28355382144,1.6082580042804515,0.0055730342864990234
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,25,16,0,1,4.419527165977528,Weekend,0,0,0,1,0,136,750.2064022285293,1579.622261483395,4.419527165977528,0.005769014358520508
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,50,16,0,1,7.9934166290756625,Weekend,0,0,0,1,0,140,1429.535516414243,1551.28355382144,7.9934166290756625,0.006178855895996094
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,100,16,0,1,12.188746927788326,Weekend,0,0,0,1,0,128,2001.6125151289484,1601.15143825007,12.188746927788326,0.005893707275390625
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,150,16,0,1,14.381156416775875,Weekend,0,0,0,1,0,128,2362.708230957041,1601.15143825007,14.381156416775875,0.005377769470214844
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,0,22,0,0,2.417553191206885,Special,0,0,0,0,1,140,400.19627631796385,1551.28355382144,2.417553191206885,0.005300045013427734
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,25,22,0,0,3.314312417934577,Special,0,0,0,0,1,140,571.2230800533215,1551.28355382144,3.314312417934577,0.0050580501556396484
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,50,22,0,0,5.917866651593016,Special,0,0,0,0,1,140,1048.3560767534561,1551.28355382144,5.917866651593016,0.005125761032104492
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,100,22,0,0,11.832312784074155,Special,0,0,0,0,1,128,1938.103245071454,1601.15143825007,11.832312784074155,0.0059871673583984375
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,150,22,0,0,12.520215331194532,Special,0,0,0,0,1,128,2051.6793799647658,1601.15143825007,12.520215331194532,0.005784034729003906
